Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
2018-07-19 18:33:50,VR2W-129793,A69-1602-9717
2018-07-19 18:34:46,VR2W-129793,A69-1602-9712
2018-07-19 18:36:53,VR2W-129793,A69-1602-9717
2018-07-19 18:37:45,VR2W-129793,A69-1602-9712
2018-07-19 18:39:55,VR2W-129793,A69-1602-9717
2018-07-19 18:40:40,VR2W-129793,A69-1602-9712
2018-07-19 18:48:43,VR2W-129793,A69-1602-9717
2018-07-19 18:50:18,VR2W-129793,A69-1602-9712
2018-07-19 18:51:21,VR2W-129793,A69-1602-9717
2018-07-19 18:52:27,VR2W-129793,A69-1602-9712
2018-07-19 18:53:34,VR2W-129793,A69-1602-9717
2018-07-19 18:53:41,VR2W-129793,A69-1602-9712
2018-07-19 18:54:56,VR2W-129793,A69-1602-9717
2018-07-19 18:55:06,VR2W-129793,A69-1602-9712
2018-07-19 18:56:36,VR2W-129793,A69-1602-9717
2018-07-19 18:58:51,VR2W-129793,A69-1602-9717
2018-07-19 18:59:18,VR2W-129793,A69-1602-9712
2018-07-19 19:00:17,VR2W-129793,A69-1602-9717
2018-07-19 19:01:08,VR2W-129793,A69-1602-9712
2018-07-19 19:02:07,VR2W-129793,A69-1602-9717
2018-07-19 19:03:45,VR2W-129793,A69-1602-9712
2018-07-19 19:05:55,VR2W-129793,A69-1602-9712
2018-07-19 19:07:12,VR2W-129793,A69-1602-9712
2018-07-19 19:08:41,VR2W-129793,A69-1602-9712
2018-07-19 19:10:36,VR2W-129793,A69-1602-9712
2018-07-19 19:12:35,VR2W-129793,A69-1602-9717
2018-07-19 19:13:23,VR2W-129793,A69-1602-9712
2018-07-19 19:14:13,VR2W-129793,A69-1602-9718
2018-07-19 19:15:15,VR2W-129793,A69-1602-9717
2018-07-19 19:15:52,VR2W-129793,A69-1602-9712
2018-07-19 19:17:00,VR2W-129793,A69-1602-9718
2018-07-19 19:17:48,VR2W-129793,A69-1602-9712
2018-07-19 19:19:02,VR2W-129793,A69-1602-9717
2018-07-19 19:20:35,VR2W-129793,A69-1602-9712
2018-07-19 19:20:59,VR2W-129793,A69-1602-9717
2018-07-19 19:21:29,VR2W-129793,A69-1602-9718
2018-07-19 19:23:06,VR2W-129793,A69-1602-9712
2018-07-19 19:23:50,VR2W-129793,A69-1602-9717
2018-07-19 19:24:20,VR2W-129793,A69-1602-9718
2018-08-13 17:48:00,VR2W-111372,A69-1602-29792,,,,,SBI_1,+34.05695,-120.34552
2018-08-13 17:48:59,VR2W-111372,A69-1602-29792,,,,,SBI_1,+34.05695,-120.34552
2018-08-13 17:49:07,VR2W-111372,A69-1602-29792,,,,,SBI_1,+34.05695,-120.34552
2018-08-13 17:49:15,VR2W-111372,A69-1602-29792,,,,,SBI_1,+34.05695,-120.34552
2018-08-13 19:31:06,VR2W-133753,A69-1602-29792,,,,,SBI_10
2018-08-13 19:31:29,VR2W-133753,A69-1602-29792,,,,,SBI_10
2018-08-13 19:34:58,VR2W-133753,A69-1602-29792,,,,,SBI_10
2018-08-13 19:35:05,VR2W-133753,A69-1602-29792,,,,,SBI_10
2018-08-13 19:35:13,VR2W-133753,A69-1602-29792,,,,,SBI_10
2018-08-13 19:35:44,VR2W-133753,A69-1602-29792,,,,,SBI_10
2018-08-13 19:36:15,VR2W-133753,A69-1602-29792,,,,,SBI_10
2018-08-13 19:36:22,VR2W-133753,A69-1602-29792,,,,,SBI_10
2018-08-13 19:36:38,VR2W-133753,A69-1602-29792,,,,,SBI_10
2018-08-13 19:37:01,VR2W-133753,A69-1602-29792,,,,,SBI_10
2018-08-13 19:37:09,VR2W-133753,A69-1602-29792,,,,,SBI_10
2018-08-13 19:37:17,VR2W-133753,A69-1602-29792,,,,,SBI_10
2018-08-13 19:37:24,VR2W-133753,A69-1602-29792,,,,,SBI_10
2018-08-13 19:37:32,VR2W-133753,A69-1602-29792,,,,,SBI_10
2018-08-13 19:37:40,VR2W-133753,A69-1602-29792,,,,,SBI_10
2018-08-13 19:37:47,VR2W-133753,A69-1602-29792,,,,,SBI_10
2018-08-13 22:18:08,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:18:16,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:18:24,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:18:32,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:18:39,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:18:47,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:18:55,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:19:18,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:19:33,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:19:41,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:19:49,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:19:56,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:20:04,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:20:12,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:20:27,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:21:06,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:28:42,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:29:05,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:29:21,VR2W-129794,A69-1602-29792,,,,,SBI_7
2018-08-13 22:29:28,VR2W-129794,A69-1602-29792,,,,,SBI_7
