station,lat,long,,other options,,,
SB-01,33.48818333,-119.0248833,,34.05695,-120.3455,,
SB-02,33.49063333,-119.0317333,,33.4906,,34.01592,-120.3311
SB-03,33.48695,-119.04055,,,-119.0405,,
SB-04,0,0,,,,,
SB-05,33.47595,-119.0476333,,33.476,-119.0479,,
SB-06,33.468,-119.0457167,,,,,
SB-07,33.46366667,-119.0418333,,,,,
SB-08,33.46065,-119.0348,,,,,
SB-09,33.47086667,-119.0260167,,,,,
SB-10,33.48381667,-119.0228,,,,,
